age,diag,region,sarima_order,sarima_seasonal,burn,"NNAR(p,P,h,m)",nnar_cv_mae,nnar_cv_rmse,nnar_cv_folds,cv_start_frac,cv_horizon,cv_step,sarima_mae,sarima_rmse,sarima_cov_total,sarima_lb_p,hybrid_mae,hybrid_rmse,hybrid_cov_total,hybrid_cov_covid,hybrid_cov_post,hybrid_pi_n_sims,mae_impr_pct,rmse_impr_pct,hybrid_better_mae,hybrid_better_rmse,status,error
0-14,Altres IRA,Alt Pirineu i Aran,"(2, 1, 2)","(1, 1, 1, 52)",108.0,"(12, 1, 2, 52)",503.24894852054786,650.1851129800239,3.0,0.7,26.0,26.0,978.1846527626336,1248.562602401764,0.8961538461538462,0.9901500040217968,952.965027108895,1225.875629188603,0.9192307692307692,0.8269230769230769,0.9807692307692307,100.0,2.578207047361885,1.8170473126073048,True,True,ok,
0-14,Altres IRA,Barcelona Ciutat,"(2, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 3, 52)",2624.4141972747675,3428.4825870371806,3.0,0.7,26.0,26.0,6390.479764800221,8922.865297592207,0.7846153846153846,0.4353442851491642,6295.832141817131,8812.036260308783,0.8153846153846154,0.6634615384615384,0.9166666666666666,100.0,1.4810722585246991,1.242079013714689,True,True,ok,
0-14,Altres IRA,Barcelona Metropolitana Nord,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 4, 52)",2977.838301385061,4129.01475237927,3.0,0.7,26.0,26.0,7859.166347929423,11377.195479156782,0.8076923076923077,0.0066021068334458,7729.9254388531845,10998.172149273796,0.8346153846153846,0.6923076923076923,0.9294871794871795,100.0,1.6444607908100626,3.3314302332008223,True,True,ok,
0-14,Altres IRA,Barcelona Metropolitana Sud,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 4, 52)",2186.543953173486,2818.612755966886,3.0,0.7,26.0,26.0,6058.313539199888,8546.595176985486,0.7615384615384615,0.0044387630394576,5836.092452124797,8218.8997652313,0.7961538461538461,0.6153846153846154,0.9166666666666666,100.0,3.6680354299463827,3.834221756947303,True,True,ok,
0-14,Altres IRA,Camp de Tarragona,"(2, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 4, 52)",1178.9468784068947,1489.7263844731413,3.0,0.7,26.0,26.0,3026.714109619698,4357.331024914091,0.7807692307692308,0.3794496094195514,2981.064367972162,4302.2353583183885,0.7846153846153846,0.6346153846153846,0.8846153846153846,100.0,1.5082277345735726,1.2644361027583182,True,True,ok,
0-14,Altres IRA,Catalunya Central,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(8, 1, 2, 52)",1318.26030104887,1824.1489850318992,3.0,0.7,26.0,26.0,3631.944207130301,4837.302801763622,0.7269230769230769,0.1163739206420543,3407.8974855665433,4593.491886038112,0.7653846153846153,0.5961538461538461,0.8782051282051282,100.0,6.168782029302791,5.040224391919788,True,True,ok,
0-14,Altres IRA,Girona,"(2, 0, 2)","(1, 1, 1, 52)",107.0,"(6, 1, 4, 52)",1026.1195291612141,1300.563189580878,3.0,0.7,26.0,26.0,2988.999444302813,4281.510573693051,0.7653846153846153,0.6867078700598432,2897.2651554835825,4186.212802342479,0.8038461538461539,0.625,0.9230769230769231,100.0,3.0690634283683433,2.225797874612551,True,True,ok,
0-14,Altres IRA,Lleida,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 3, 52)",879.1477265921138,1172.1198462183193,3.0,0.7,26.0,26.0,2559.1545626721704,3453.2960644132077,0.7692307692307693,0.0113005218915003,2348.058554765935,3262.0269886595606,0.7961538461538461,0.6442307692307693,0.8974358974358975,100.0,8.248661920826592,5.538739574770515,True,True,ok,
0-14,Altres IRA,Pened̬s,"(2, 0, 1)","(0, 1, 1, 52)",106.0,"(6, 1, 3, 52)",1116.0868995139533,1406.3453474252685,3.0,0.7,26.0,26.0,2422.100249637684,3272.6460653045215,0.7961538461538461,0.0525683994290713,2314.1612614923997,3160.857699865294,0.8192307692307692,0.6634615384615384,0.9230769230769231,100.0,4.45642116429453,3.4158403691853447,True,True,ok,
0-14,Altres IRA,Terres de l'Ebre,"(2, 1, 2)","(1, 1, 1, 52)",108.0,"(5, 1, 2, 52)",729.969241110166,1009.5683259606658,3.0,0.7,26.0,26.0,1721.962194181423,2311.6469714824484,0.823076923076923,0.8741714878466029,1645.6429814533165,2204.522790438195,0.8615384615384616,0.6826923076923077,0.9807692307692307,100.0,4.432107335805172,4.6341064343209455,True,True,ok,
0-14,Bronquiolitis,Alt Pirineu i Aran,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(3, 1, 2, 52)",1281.3770484792356,1516.2988254881668,3.0,0.7,26.0,26.0,1504.738043191911,2010.8261459314017,0.95,0.8701849572932449,1501.711109649039,2018.8181756560714,0.9769230769230769,0.9807692307692307,0.9743589743589743,100.0,0.2011601658220308,-0.3974500600581675,True,False,ok,
0-14,Bronquiolitis,Barcelona Ciutat,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(2, 1, 4, 52)",1401.1525799995125,1779.4940222336725,3.0,0.7,26.0,26.0,2149.0206676216008,3134.006228309765,0.8884615384615384,0.4527295512608909,2311.92400932164,3245.892638593076,0.9076923076923077,0.8557692307692307,0.9423076923076923,100.0,-7.580352490529103,-3.570076194253562,False,False,ok,
0-14,Bronquiolitis,Barcelona Metropolitana Nord,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(4, 1, 4, 52)",1104.6040728213254,1397.7888309711468,3.0,0.7,26.0,26.0,2120.000102964269,3138.426139575442,0.8538461538461538,0.0953243679848634,2330.4064476639237,3274.0760075189223,0.9076923076923077,0.875,0.9294871794871795,100.0,-9.92482709814288,-4.32222591549759,False,False,ok,
