age,diag,region,sarima_order,sarima_seasonal,burn,"NNAR(p,P,h,m)",nnar_cv_mae,nnar_cv_rmse,nnar_cv_folds,cv_start_frac,cv_horizon,cv_step,sarima_mae,sarima_rmse,sarima_cov_total,sarima_lb_p,hybrid_mae,hybrid_rmse,hybrid_cov_total,hybrid_cov_covid,hybrid_cov_post,hybrid_pi_n_sims,mae_impr_pct,rmse_impr_pct,hybrid_better_mae,hybrid_better_rmse,status,error
0-14,Altres IRA,Alt Pirineu i Aran,"(2, 1, 2)","(1, 1, 1, 52)",108.0,"(12, 1, 2, 52)",496.61707388716303,648.3491182210361,3.0,0.7,26.0,26.0,978.907695853034,1248.9139891852092,0.9,0.9893263694557596,966.5793538166722,1237.3157225139291,0.926923076923077,0.8461538461538461,0.9807692307692307,100.0,1.2593978051851715,0.9286681686420013,True,True,ok,
0-14,Altres IRA,Barcelona Ciutat,"(2, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 3, 52)",2581.996378075654,3419.0178017128187,3.0,0.7,26.0,26.0,6390.48011810064,8922.865679792096,0.7846153846153846,0.435343714334634,6308.82758475523,8822.41289517735,0.8153846153846154,0.6538461538461539,0.9230769230769231,100.0,1.2777214205570167,1.125790617270473,True,True,ok,
0-14,Altres IRA,Barcelona Metropolitana Nord,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 4, 52)",2977.375614991482,4127.593407434729,3.0,0.7,26.0,26.0,7859.166341178657,11377.19546730078,0.8076923076923077,0.0066021067420329,7729.504518880507,10996.257316402232,0.8384615384615385,0.7019230769230769,0.9294871794871795,100.0,1.6498164903162489,3.3482605796252956,True,True,ok,
0-14,Altres IRA,Barcelona Metropolitana Sud,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(2, 1, 8, 52)",2140.809856551297,2822.3142652946012,3.0,0.7,26.0,26.0,6058.313523362976,8546.595156104706,0.7615384615384615,0.0044387629627671,5861.788280079112,8208.666715388192,0.7923076923076923,0.6153846153846154,0.9102564102564102,100.0,3.2438935774121656,3.953953996231317,True,True,ok,
0-14,Altres IRA,Camp de Tarragona,"(2, 0, 2)","(0, 1, 1, 52)",107.0,"(6, 1, 4, 52)",1177.9067727774736,1487.90529043453,3.0,0.7,26.0,26.0,3026.7682313883356,4357.421440547177,0.7807692307692308,0.3794344085723305,2980.903341125729,4302.001518021994,0.7846153846153846,0.6346153846153846,0.8846153846153846,100.0,1.5153089617822786,1.2718513295382103,True,True,ok,
0-14,Altres IRA,Catalunya Central,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(2, 1, 4, 52)",1324.4996265662573,1820.9635353148221,3.0,0.7,26.0,26.0,3631.9444447193696,4837.303049300135,0.7269230769230769,0.1163738852527716,3488.2354699923612,4642.148027024619,0.7692307692307693,0.5961538461538461,0.8846153846153846,100.0,3.9568054223944045,4.034376599658172,True,True,ok,
0-14,Altres IRA,Girona,"(2, 0, 2)","(1, 1, 1, 52)",107.0,"(3, 1, 2, 52)",1094.0674346534815,1337.492456236521,3.0,0.7,26.0,26.0,2713.993658364335,3841.131651147163,0.8269230769230769,0.583788009043954,2716.6744289722283,3757.406449707285,0.8423076923076923,0.6826923076923077,0.9487179487179487,100.0,-0.09877586116060075,2.1797014276996594,False,True,ok,
0-14,Altres IRA,Lleida,"(1, 0, 2)","(0, 1, 1, 52)",107.0,"(3, 1, 3, 52)",861.4736427894472,1177.7709017108539,3.0,0.7,26.0,26.0,2559.1546915879653,3453.2961685167697,0.7692307692307693,0.0113005308378593,2371.028930679991,3281.297296025645,0.7884615384615384,0.6346153846153846,0.8910256410256411,100.0,7.35108985503497,4.980715933351295,True,True,ok,
0-14,Altres IRA,Pened̬s,"(2, 0, 1)","(0, 1, 1, 52)",106.0,"(3, 1, 3, 52)",1124.7658607910287,1405.8106755685465,3.0,0.7,26.0,26.0,2422.100305458574,3272.6461437839375,0.7961538461538461,0.0525684280022059,2263.2113103210963,3110.168732691001,0.823076923076923,0.6634615384615384,0.9294871794871795,100.0,6.559967594215523,4.964710633367622,True,True,ok,
0-14,Altres IRA,Terres de l'Ebre,"(2, 1, 2)","(1, 1, 1, 52)",108.0,"(2, 1, 4, 52)",702.2578407029551,1001.217377127266,3.0,0.7,26.0,26.0,1727.9106321481931,2308.8879740588504,0.8384615384615385,0.8637345534250961,1643.8558591890105,2204.6441181618693,0.8346153846153846,0.6346153846153846,0.967948717948718,100.0,4.864532424034168,4.51489448895731,True,True,ok,
0-14,Bronquiolitis,Alt Pirineu i Aran,"(2, 0, 2)","(0, 1, 1, 52)",107.0,"(4, 1, 4, 52)",1102.6030932904287,1471.3010175981779,3.0,0.7,26.0,26.0,1258.0950779834343,1814.0438249612669,0.9576923076923076,0.7848083307676299,1316.3145340552371,1949.5125112829646,0.9730769230769231,0.9519230769230769,0.9871794871794872,100.0,-4.627587937560425,-7.467773625843369,False,False,ok,
