age,diag,region,p_adf,p_kpss,d,order,seasonal,aic,cv_mae,converged,mae_test,rmse_test,cov_total,cov_covid,cov_post,lb_p,status,error
0-14,Altres IRA,Alt Pirineu i Aran,0.00023844168416690297,0.023920247287331352,1.0,"(2, 1, 2)","(1, 1, 1, 52)",5008.811454444411,525.6554834065726,False,978.1846527626336,1248.562602401764,0.8961538461538462,0.7692307692307693,0.9807692307692307,0.9901500040217969,ok,
0-14,Altres IRA,Barcelona Ciutat,0.0002454514210082008,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",6011.496996568125,3487.1963885027676,True,6390.479764800221,8922.865297592207,0.7846153846153846,0.5769230769230769,0.9230769230769231,0.43534428514916423,ok,
0-14,Altres IRA,Barcelona Metropolitana Nord,2.2524534568204037e-06,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",6150.121055342906,3499.077652633421,True,7859.166347929423,11377.195479156782,0.8076923076923077,0.6346153846153846,0.9230769230769231,0.006602106833445812,ok,
0-14,Altres IRA,Barcelona Metropolitana Sud,1.3978908927762042e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5947.871822197363,2698.3134215050704,True,6058.313539199888,8546.595176985486,0.7615384615384615,0.5673076923076923,0.8910256410256411,0.004438763039457624,ok,
0-14,Altres IRA,Camp de Tarragona,2.695237864508406e-06,0.08856575647514438,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5476.121684887699,1499.96395315937,True,3026.714109619698,4357.331024914091,0.7807692307692308,0.6057692307692307,0.8974358974358975,0.37944960941955147,ok,
0-14,Altres IRA,Catalunya Central,3.015018879859736e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5584.325327199794,1431.3047174379085,True,3631.944207130301,4837.302801763622,0.7269230769230769,0.5480769230769231,0.8461538461538461,0.11637392064205437,ok,
0-14,Altres IRA,Girona,9.893153260418542e-08,0.1,0.0,"(2, 0, 2)","(1, 1, 1, 52)",5461.497837189652,1266.5510189803597,False,2988.999444302813,4281.510573693051,0.7653846153846153,0.5673076923076923,0.8974358974358975,0.6867078700598432,ok,
0-14,Altres IRA,Lleida,3.532204810115661e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5421.395306386938,1015.0010860866234,True,2559.1545626721704,3453.2960644132077,0.7692307692307693,0.5865384615384616,0.8910256410256411,0.011300521891500378,ok,
0-14,Altres IRA,Pened̬s,2.5195568341806833e-05,0.1,0.0,"(2, 0, 1)","(0, 1, 1, 52)",5476.402830325504,1291.410362118524,True,2422.100249637684,3272.6460653045215,0.7961538461538461,0.6153846153846154,0.9166666666666666,0.05256839942907137,ok,
0-14,Altres IRA,Terres de l'Ebre,0.00010666384883242356,0.01,1.0,"(2, 1, 2)","(1, 1, 1, 52)",5196.6548886587625,918.6567956236313,False,1721.962194181423,2311.6469714824484,0.823076923076923,0.6346153846153846,0.9487179487179487,0.8741714878466029,ok,
0-14,Bronquiolitis,Alt Pirineu i Aran,3.2745403894750626e-14,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5595.878698220891,1305.1821614737926,True,1504.738043191911,2010.8261459314017,0.95,0.9519230769230769,0.9487179487179487,0.8701849572932449,ok,
0-14,Bronquiolitis,Barcelona Ciutat,5.666155317799001e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5724.87509494042,1784.900341527842,True,2149.0206676216008,3134.006228309765,0.8884615384615384,0.8269230769230769,0.9294871794871795,0.4527295512608909,ok,
0-14,Bronquiolitis,Barcelona Metropolitana Nord,3.689714300584832e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5615.417765534088,1249.1080054576332,True,2120.000102964269,3138.426139575442,0.8538461538461538,0.8076923076923077,0.8846153846153846,0.09532436798486342,ok,
