age,diag,region,p_adf,p_kpss,d,order,seasonal,aic,cv_mae,converged,mae_test,rmse_test,cov_total,cov_covid,cov_post,lb_p,status,error
0-14,Altres IRA,Alt Pirineu i Aran,0.00023844168416690297,0.023920247287331352,1.0,"(2, 1, 2)","(1, 1, 1, 52)",5008.855451592873,523.9174932559079,False,978.907695853034,1248.9139891852092,0.9,0.7788461538461539,0.9807692307692307,0.9893263694557596,ok,
0-14,Altres IRA,Barcelona Ciutat,0.00024545142100820117,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",6011.496996565915,3487.233292314383,True,6390.48011810064,8922.865679792096,0.7846153846153846,0.5769230769230769,0.9230769230769231,0.43534371433463404,ok,
0-14,Altres IRA,Barcelona Metropolitana Nord,2.2524534568204367e-06,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",6150.1210553428045,3499.077636978656,True,7859.166341178657,11377.195467300779,0.8076923076923077,0.6346153846153846,0.9230769230769231,0.00660210674203294,ok,
0-14,Altres IRA,Barcelona Metropolitana Sud,1.3978908927762171e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5947.871822199109,2698.3330224014267,True,6058.313523362976,8546.595156104706,0.7615384615384615,0.5673076923076923,0.8910256410256411,0.004438762962767185,ok,
0-14,Altres IRA,Camp de Tarragona,2.6952378645084317e-06,0.08856575647514438,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5476.121695299776,1499.9458367302266,True,3026.7682313883356,4357.421440547177,0.7807692307692308,0.6057692307692307,0.8974358974358975,0.3794344085723305,ok,
0-14,Altres IRA,Catalunya Central,3.015018879859736e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5584.32532720222,1431.304717714283,True,3631.9444447193696,4837.303049300135,0.7269230769230769,0.5480769230769231,0.8461538461538461,0.11637388525277167,ok,
0-14,Altres IRA,Girona,9.893153260418542e-08,0.1,0.0,"(2, 0, 2)","(1, 1, 1, 52)",5457.927722548713,1266.9697514903798,False,2713.993658364335,3841.131651147163,0.8269230769230769,0.6442307692307693,0.9487179487179487,0.583788009043954,ok,
0-14,Altres IRA,Lleida,3.532204810115661e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5421.395306387617,1015.0010880983141,True,2559.1546915879653,3453.2961685167697,0.7692307692307693,0.5865384615384616,0.8910256410256411,0.011300530837859351,ok,
0-14,Altres IRA,Pened̬s,2.5195568341806833e-05,0.1,0.0,"(2, 0, 1)","(0, 1, 1, 52)",5476.402830324392,1291.4103747424365,True,2422.100305458574,3272.6461437839375,0.7961538461538461,0.6153846153846154,0.9166666666666666,0.05256842800220592,ok,
0-14,Altres IRA,Terres de l'Ebre,0.00010666384883242356,0.01,1.0,"(2, 1, 2)","(1, 1, 1, 52)",5196.788431130948,913.5744143451572,False,1727.9106321481931,2308.8879740588504,0.8384615384615385,0.6538461538461539,0.9615384615384616,0.8637345534250961,ok,
0-14,Bronquiolitis,Alt Pirineu i Aran,3.59880999901287e-29,0.09811836523226258,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5569.462468250329,1232.907107459424,True,1258.0950779834345,1814.0438249612669,0.9576923076923077,0.9423076923076923,0.967948717948718,0.7848083307676299,ok,
0-14,Bronquiolitis,Barcelona Ciutat,5.666155317799001e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5724.875095263751,1784.9005233607913,True,2128.4890049301803,3118.9702867499523,0.8884615384615384,0.8269230769230769,0.9294871794871795,0.4527785161374027,ok,
0-14,Bronquiolitis,Barcelona Metropolitana Nord,3.689714300584882e-05,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5615.4177655348585,1249.0910925901878,True,2119.999889199888,3138.4259888743077,0.8538461538461538,0.8076923076923077,0.8846153846153846,0.09532441786927999,ok,
0-14,Bronquiolitis,Barcelona Metropolitana Sud,2.2534474568548448e-05,0.1,0.0,"(2, 0, 1)","(0, 1, 1, 52)",5564.7407486217435,1356.942707879356,True,1646.3899325745192,2385.870358632742,0.8923076923076924,0.8365384615384616,0.9294871794871795,0.007269320961020237,ok,
0-14,Bronquiolitis,Camp de Tarragona,0.00047711550507892006,0.1,0.0,"(2, 0, 2)","(0, 1, 1, 52)",5376.416126368431,792.9397179636619,False,1255.235889331196,1829.6340555863737,0.9115384615384615,0.875,0.9358974358974359,0.8234065390018093,ok,
0-14,Bronquiolitis,Catalunya Central,1.8856439570363863e-06,0.1,0.0,"(1, 0, 1)","(0, 1, 1, 52)",5396.929181051584,937.3480223116318,True,1095.118421057438,1573.100749783473,0.9192307692307692,0.9326923076923077,0.9102564102564102,0.3369383825040673,ok,
0-14,Bronquiolitis,Girona,3.796841888342721e-06,0.1,0.0,"(1, 0, 2)","(0, 1, 1, 52)",5292.978153514496,976.5125683116357,True,1106.36491340743,1618.674354780743,0.9,0.8942307692307693,0.9038461538461539,0.5948972879248686,ok,
